url,energy,heating,price,area,rooms,fee,zipcode,construction_year,level,price_per_area
https://www.immowelt.de/expose/28k6s5y,Fernwärme,Zentralheizung,919000.0,110.93,4.0,3.57,10711.0,1911.0,2.0,8284.50374109799
https://www.immowelt.de/expose/2866s5y,Fernwärme,Zentralheizung,499000.0,62.08,2.0,3.57,10711.0,1911.0,2.0,8038.015463917526
https://www.immowelt.de/expose/28v5s5y,Fernwärme,Zentralheizung,439000.0,61.65,2.0,3.57,10711.0,1911.0,1.0,7120.8434712084345
https://www.immowelt.de/expose/286st5x,Gas,Etagenheizung,208000.0,42.4,1.0,3.57,13403.0,1956.0,3.0,4905.660377358491
https://www.immowelt.de/expose/28aqr5x,na,na,359000.0,90.11,3.0,3.57,10315.0,1920.0,1.0,3984.019531683498
https://www.immowelt.de/expose/283fy5w,na,na,486048.0,101.26,4.0,17.3,10713.0,1985.0,2.0,4800.0
https://www.immowelt.de/expose/283jx5v,Gas,Etagenheizung,395000.0,62.16,2.0,3.57,10435.0,1895.0,2.0,6354.5688545688545
https://www.immowelt.de/expose/28rjd5u,Gas,Zentralheizung,598000.0,90.76,3.0,3.57,10439.0,1956.0,3.0,6588.805641251653
https://www.immowelt.de/expose/288m75u,Gas,Zentralheizung,595000.0,112.05,4.0,3.57,12555.0,2016.0,1.0,5310.129406514949
https://www.immowelt.de/expose/28vvt5r,Gas,Zentralheizung,620000.0,95.76,3.0,3.57,10439.0,1908.0,3.0,6474.519632414369
https://www.immowelt.de/expose/287vt5r,Gas,Zentralheizung,499000.0,70.85,2.0,3.57,10439.0,1956.0,2.0,7043.048694424841
https://www.immowelt.de/expose/28g4n5r,Gas,Zentralheizung,418000.0,56.5,2.0,3.57,10439.0,1956.0,1.0,7398.230088495575
https://www.immowelt.de/expose/28qee5r,na,na,290000.0,69.04,2.0,3.57,12351.0,1992.0,1.0,4200.463499420625
https://www.immowelt.de/expose/28vqr5n,na,na,385000.0,80.13,3.0,3.57,10713.0,1985.0,2.0,4804.692374890803
https://www.immowelt.de/expose/28kaj5h,na,na,498000.0,74.0,2.0,3.57,10717.0,1900.0,4.0,6729.72972972973
https://www.immowelt.de/expose/28eaj5h,na,na,269000.0,42.0,1.0,3.57,10717.0,1900.0,4.0,6404.761904761905
https://www.immowelt.de/expose/286rz5f,na,na,325000.0,68.53,2.0,3.57,13351.0,1956.0,3.0,4742.448562673282
https://www.immowelt.de/expose/28x6s5e,na,na,629000.0,83.0,3.0,3.57,10709.0,1912.0,1.0,7578.313253012048
https://www.immowelt.de/expose/285m45e,na,na,320000.0,50.45,2.0,3.57,13351.0,1956.0,1.0,6342.913776015857
https://www.immowelt.de/expose/28vpt5z,Öl,Zentralheizung,165000.0,38.0,1.0,3.57,14195.0,1970.0,1.0,4342.105263157895
https://www.immowelt.de/expose/28gf55c,Fernwärme,Zentralheizung,319062.0,77.49,3.0,3.57,10247.0,1900.0,2.0,4117.460317460318
https://www.immowelt.de/expose/28sc55c,Fernwärme,Zentralheizung,148461.0,36.09,1.0,3.57,10247.0,1900.0,1.0,4113.632585203657
https://www.immowelt.de/expose/28ufk59,Gas,Zentralheizung,268000.0,43.43,1.0,3.57,12105.0,1973.0,3.0,6170.849643103846
https://www.immowelt.de/expose/2893t53,na,na,2864800.0,252.77,5.0,3.57,10557.0,2023.0,3.0,11333.623452150176
https://www.immowelt.de/expose/27gce5w,Fernwärme,Zentralheizung,498000.0,73.79,3.0,3.57,10117.0,1972.0,4.0,6748.881962325518
https://www.immowelt.de/expose/27bce5w,na,na,359000.0,61.33,3.0,3.57,10369.0,1956.0,4.0,5853.578998858634
https://www.immowelt.de/expose/276ce5w,na,na,799000.0,99.65,4.0,3.57,13585.0,1956.0,3.0,8018.06322127446
https://www.immowelt.de/expose/27tbe5w,na,na,229000.0,51.58,2.0,3.57,10319.0,1964.0,1.0,4439.705312136487
https://www.immowelt.de/expose/2p4bf4w,Fernwärme,"Fußbodenheizung, offener ",1799000.0,146.5,3.0,3.57,14199.0,2022.0,1.0,12279.86348122867
https://www.immowelt.de/expose/27prv5u,Fernwärme,Zentralheizung,528000.0,73.9,2.0,2.98,12435.0,1900.0,1.0,7144.790257104194
https://www.immowelt.de/expose/27agr5u,Öl,Zentralheizung,470000.0,93.55,3.0,3.57,12109.0,1978.0,1.0,5024.051309460182
https://www.immowelt.de/expose/275h75u,na,na,229000.0,54.02,2.0,3.57,12055.0,1905.0,1.0,4239.170677526841
https://www.immowelt.de/expose/28ftz5f,na,na,305000.0,63.74,2.0,3.57,13351.0,1956.0,2.0,4785.064323815501
https://www.immowelt.de/expose/273gh5m,na,na,229000.0,41.25,1.0,3.57,10713.0,1960.0,3.0,5551.515151515152
https://www.immowelt.de/expose/28w4x5f,na,na,450000.0,108.14,3.0,3.57,12169.0,1909.0,3.0,4161.2724246347325
https://www.immowelt.de/expose/27lry5q,na,na,888000.0,121.84,4.0,3.57,10439.0,1956.0,1.0,7288.246881155614
https://www.immowelt.de/expose/27h845g,Gas,Fußbodenheizung,520000.0,122.76,4.0,3.57,12557.0,1997.0,1.0,4235.907461713913
https://www.immowelt.de/expose/26cwv5y,na,na,260000.0,47.0,2.0,3.57,14193.0,1958.0,1.0,5531.914893617021
